condition,model_optimality
n_8_tau_0.3_rho_-0.5,0.9963
n_8_tau_0.3_rho_0.0,0.9807
n_8_tau_0.3_rho_0.5,0.9692
n_8_tau_0.5_rho_-0.5,0.9945
n_8_tau_0.5_rho_0.0,0.9836
n_8_tau_0.5_rho_0.5,0.9808
n_8_tau_0.7_rho_-0.5,0.9979
n_8_tau_0.7_rho_0.0,0.9898
n_8_tau_0.7_rho_0.5,0.9834
n_10_tau_0.3_rho_-0.5,0.9942
n_10_tau_0.3_rho_0.0,0.9857
n_10_tau_0.3_rho_0.5,0.9722
n_10_tau_0.5_rho_-0.5,0.9956
n_10_tau_0.5_rho_0.0,0.9852
n_10_tau_0.5_rho_0.5,0.9786
n_10_tau_0.7_rho_-0.5,0.9975
n_10_tau_0.7_rho_0.0,0.9940
n_10_tau_0.7_rho_0.5,0.9864
n_12_tau_0.3_rho_-0.5,0.9926
n_12_tau_0.3_rho_0.0,0.9824
n_12_tau_0.3_rho_0.5,0.9683
n_12_tau_0.5_rho_-0.5,0.9972
n_12_tau_0.5_rho_0.0,0.9881
n_12_tau_0.5_rho_0.5,0.9706
n_12_tau_0.7_rho_-0.5,0.9981
n_12_tau_0.7_rho_0.0,0.9937
n_12_tau_0.7_rho_0.5,0.9876